"filename", "language", "JSON", "HTML", "JavaScript JSX", "PostCSS", "comment", "blank", "total"
"c:\Users\lalit\Desktop\File_Sharing_App\config\db.js", "JavaScript JSX", 0, 0, 21, 0, 3, 6, 30
"c:\Users\lalit\Desktop\File_Sharing_App\models\file.js", "JavaScript JSX", 0, 0, 12, 0, 0, 4, 16
"c:\Users\lalit\Desktop\File_Sharing_App\package-lock.json", "JSON", 1747, 0, 0, 0, 0, 1, 1748
"c:\Users\lalit\Desktop\File_Sharing_App\package.json", "JSON", 26, 0, 0, 0, 0, 1, 27
"c:\Users\lalit\Desktop\File_Sharing_App\public\css\style.css", "PostCSS", 0, 0, 0, 286, 8, 42, 336
"c:\Users\lalit\Desktop\File_Sharing_App\public\js\index.js", "JavaScript JSX", 0, 0, 128, 0, 2, 29, 159
"c:\Users\lalit\Desktop\File_Sharing_App\routes\download.js", "JavaScript JSX", 0, 0, 30, 0, 1, 7, 38
"c:\Users\lalit\Desktop\File_Sharing_App\routes\files.js", "JavaScript JSX", 0, 0, 72, 0, 7, 14, 93
"c:\Users\lalit\Desktop\File_Sharing_App\routes\show.js", "JavaScript JSX", 0, 0, 35, 0, 3, 6, 44
"c:\Users\lalit\Desktop\File_Sharing_App\script.js", "JavaScript JSX", 0, 0, 29, 0, 1, 3, 33
"c:\Users\lalit\Desktop\File_Sharing_App\server.js", "JavaScript JSX", 0, 0, 26, 0, 4, 10, 40
"c:\Users\lalit\Desktop\File_Sharing_App\services\emailService.js", "JavaScript JSX", 0, 0, 20, 0, 0, 3, 23
"c:\Users\lalit\Desktop\File_Sharing_App\services\emailTemplate.js", "JavaScript JSX", 0, 0, 172, 0, 0, 1, 173
"c:\Users\lalit\Desktop\File_Sharing_App\vercel.json", "JSON", 16, 0, 0, 0, 0, 0, 16
"c:\Users\lalit\Desktop\File_Sharing_App\views\download.ejs", "HTML", 0, 35, 0, 0, 0, 0, 35
"c:\Users\lalit\Desktop\File_Sharing_App\views\index.ejs", "HTML", 0, 54, 0, 0, 0, 4, 58
"Total", "-", 1789, 89, 545, 286, 29, 131, 2869